Title,Author,Price,Stars,URL
THINK AND GROW RICH (PB),Napoleon Hill,₹94.00,4.4 out of 5 stars,https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/9353338158/ref=zg_bs_g_books_sccl_4/000-0000000-0000000?psc=1
"The Hidden Hindu Book 3 ""द हिडन हिंदू-3"" - अक्षत गुप्ता 3rd Book of Hidden Hindu Triology (Hindi Version) - Akshat Gupta",Akshat Gupta,₹179.00,4.8 out of 5 stars,https://www.amazon.in/Hidden-Hindu-Book-%E0%A4%B9%E0%A4%BF%E0%A4%A1%E0%A4%A8-%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%82-3/dp/9355216149/ref=zg_bs_g_books_sccl_5/000-0000000-0000000?psc=1
"Thinking, Fast & Slow (L)",Daniel Kahneman,₹268.00,4.5 out of 5 stars,https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576/ref=zg_bs_g_books_sccl_6/000-0000000-0000000?psc=1
SSC GD (COMBO) MATH +REASONING+GK+HINDI,Ankit Bhati,₹469.00,4.2 out of 5 stars,https://www.amazon.in/SSC-COMBO-MATH-REASONING-HINDI/dp/B0CKBQWMN7/ref=zg_bs_g_books_sccl_7/000-0000000-0000000?psc=1
Think And Grow Rich - Hindi,Napoleon Hill,₹89.00,4.4 out of 5 stars,https://www.amazon.in/Think-Grow-Rich-Hindi-Napoleon/dp/8175993561/ref=zg_bs_g_books_sccl_8/000-0000000-0000000?psc=1
"Disha 144 JEE Main Online (2023-2012) & Offline (2018-2002) Physics,Chemistry & Mathematics Chapter-wise+Topic-wise Previous Years Solved Papers 7th Edition NCERT Chapterwise PYQ Question Bank",Disha Experts,"₹1,315.00",4.3 out of 5 stars,https://www.amazon.in/2023-2012-Mathematics-Chapter-wise-Topic-wise-Chapterwise/dp/8196150164/ref=zg_bs_g_books_sccl_9/000-0000000-0000000?psc=1
"Energize Your Mind : Learn the Art of Mastering Your Thoughts, Feelings and Emotions",Gaur Gopal Das,₹171.00,4.7 out of 5 stars,https://www.amazon.in/Energize-Your-Mind-Mastering-Thoughts/dp/0143442287/ref=zg_bs_g_books_sccl_10/000-0000000-0000000?psc=1
"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness (Courage To series)",Ichiro Kishimi and Fumitake Koga,₹273.00,4.5 out of 5 stars,https://www.amazon.in/COURAGE-BE-DISLIKED-ICHIRO-KISHIMI/dp/1760630721/ref=zg_bs_g_books_sccl_11/000-0000000-0000000?psc=1
The Time Machine-FINGERPRINT,H. G. Wells,₹98.00,4.4 out of 5 stars,https://www.amazon.in/Time-Machine-H-G-Wells/dp/8175992956/ref=zg_bs_g_books_sccl_12/000-0000000-0000000?psc=1
Kaisa Kutta Hai । कैसा कुत्ता है,Rahgir,₹130.00,4.7 out of 5 stars,https://www.amazon.in/Kaisa-Kutta-Hai-%E0%A4%95%E0%A5%88%E0%A4%B8%E0%A4%BE-%E0%A4%95%E0%A5%81%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BE/dp/9392820267/ref=zg_bs_g_books_sccl_13/000-0000000-0000000?psc=1
THE CONCISE 48 LAWS OF POWER,Robert Greene,₹254.00,4.4 out of 5 stars,https://www.amazon.in/CONCISE-48-LAWS-POWER/dp/1861974043/ref=zg_bs_g_books_sccl_14/000-0000000-0000000?psc=1
The 5 Am Club,Robin Sharma,₹202.00,4.5 out of 5 stars,https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891/ref=zg_bs_g_books_sccl_15/000-0000000-0000000?psc=1
Tales from Indian Mythology Collection of 10 Books Story Books For Kids,Wonder House Books,₹329.00,4.4 out of 5 stars,https://www.amazon.in/Tales-Indian-Mythology-Collection-Books/dp/9354400507/ref=zg_bs_g_books_sccl_16/000-0000000-0000000?psc=1
"All Time Favourites for Children: Classic Collection of 25+ most-loved, great stories by famous award-winning author (Illustrated, must-read fiction short stories for kids)",Ruskin Bond,₹149.00,4.6 out of 5 stars,https://www.amazon.in/All-Time-Favourites-Children-award-winning-Illustrated/dp/0143451936/ref=zg_bs_g_books_sccl_17/000-0000000-0000000?psc=1
BlackBook of English Vocabulary March 2023 by Nikhil Gupta,Nikhil K.R. Gupta,₹250.00,4.5 out of 5 stars,https://www.amazon.in/BlackBook-English-Vocabulary-March-Nikhil/dp/8195645712/ref=zg_bs_g_books_sccl_18/000-0000000-0000000?psc=1
Ikigai English (PB),Keira Miki,₹143.00,3.9 out of 5 stars,https://www.amazon.in/Ikigai-Japanese-staying-Young-growing/dp/9355991479/ref=zg_bs_g_books_sccl_19/000-0000000-0000000?psc=1
Word Power Made Easy [Paperback] Norman Lewis,Norman Lewis,₹88.00,4.4 out of 5 stars,https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_g_books_sccl_20/000-0000000-0000000?psc=1
"Dhan Sampatti Ka Manovigyan (The Psychology Of Money) [Paperback] Housel, Morgan and Asma",Morgan Housel,₹144.95,4.3 out of 5 stars,https://www.amazon.in/Dhan-Sampatti-Manovigyan-Psychology-Money/dp/9390166845/ref=zg_bs_g_books_sccl_1/000-0000000-0000000?psc=1
The Alchemist,Paulo Coelho,₹243.74,4.6 out of 5 stars,https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_g_books_sccl_2/000-0000000-0000000?psc=1
Bhagvad Gita As It Is English New Edition,A. C. Bhaktivedanta Swami Prabhupad,₹340.00,4.8 out of 5 stars,https://www.amazon.in/Bhagavad-Gita-Original-English-As/dp/B07MDTX8BR/ref=zg_bs_g_books_sccl_3/000-0000000-0000000?psc=1
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,₹190.00,4.5 out of 5 stars,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_books_sccl_4/000-0000000-0000000?psc=1
Meditations,Marcus Aurelius,₹99.00,4.3 out of 5 stars,https://www.amazon.in/Meditations-Marcus-Aurelius/dp/8175994754/ref=zg_bs_g_books_sccl_5/000-0000000-0000000?psc=1
"MTG 36 Years NEET Previous Year Solved Question Papers with NEET PYQ Chapterwise Topicwise Solutions - Physics, Chemistry & Biology For NEET Exam 2024 | Get Free access of Smart Book (Set of 3 Books)",MTG Editorial Board,₹749.00,4.4 out of 5 stars,https://www.amazon.in/Previous-Question-Chapterwise-Topicwise-Solutions/dp/935555897X/ref=zg_bs_g_books_sccl_6/000-0000000-0000000?psc=1
The Hidden Hindu (Hindi Translation of The Hidden Hindu) Paperback,Akshat Gupta,₹142.00,4.5 out of 5 stars,https://www.amazon.in/Hidden-Hindu-Hindi-Translation/dp/9355213794/ref=zg_bs_g_books_sccl_7/000-0000000-0000000?psc=1
